Age,Workclass, Final Weight, Education, Years of Education, Marital Status, Occupation, Relationship, Race, Sex, Capital Gain, Capital Loss, Hours Work per Week, Income
39.0,7,77516.0,10.0,13.0,5.0,1,2.0,2,0.0,2174.0,0.0,40.0,1.0
50.0,6,83311.0,10.0,13.0,3.0,4,1.0,2,0.0,0.0,0.0,13.0,1.0
38.0,4,215646.0,12.0,9.0,1.0,6,2.0,2,0.0,0.0,0.0,40.0,1.0
53.0,4,234721.0,2.0,7.0,3.0,6,1.0,1,0.0,0.0,0.0,40.0,1.0
28.0,4,338409.0,10.0,13.0,3.0,10,6.0,1,1.0,0.0,0.0,40.0,1.0
37.0,4,284582.0,13.0,14.0,3.0,4,6.0,2,1.0,0.0,0.0,40.0,1.0
49.0,4,160187.0,7.0,5.0,4.0,8,2.0,1,1.0,0.0,0.0,16.0,1.0
52.0,6,209642.0,12.0,9.0,3.0,4,1.0,2,0.0,0.0,0.0,45.0,2.0
31.0,4,45781.0,13.0,14.0,5.0,10,2.0,2,1.0,14084.0,0.0,50.0,2.0
42.0,4,159449.0,10.0,13.0,3.0,4,1.0,2,0.0,5178.0,0.0,40.0,2.0
37.0,4,280464.0,16.0,10.0,3.0,4,1.0,1,0.0,0.0,0.0,80.0,2.0
30.0,7,141297.0,10.0,13.0,3.0,10,1.0,4,0.0,0.0,0.0,40.0,2.0
23.0,4,122272.0,10.0,13.0,5.0,1,4.0,2,1.0,0.0,0.0,30.0,1.0
32.0,4,205019.0,8.0,12.0,5.0,12,2.0,1,0.0,0.0,0.0,50.0,1.0
40.0,4,121772.0,9.0,11.0,3.0,3,1.0,4,0.0,0.0,0.0,40.0,2.0
34.0,4,245487.0,6.0,4.0,3.0,14,1.0,3,0.0,0.0,0.0,45.0,1.0
25.0,6,176756.0,12.0,9.0,5.0,5,4.0,2,0.0,0.0,0.0,35.0,1.0
32.0,4,186824.0,12.0,9.0,5.0,7,5.0,2,0.0,0.0,0.0,40.0,1.0
38.0,4,28887.0,2.0,7.0,3.0,12,1.0,2,0.0,0.0,0.0,50.0,1.0
43.0,6,292175.0,13.0,14.0,1.0,4,5.0,2,1.0,0.0,0.0,45.0,2.0
40.0,4,193524.0,11.0,16.0,3.0,10,1.0,2,0.0,0.0,0.0,60.0,2.0
54.0,4,302146.0,12.0,9.0,6.0,8,5.0,1,1.0,0.0,0.0,20.0,1.0
35.0,1,76845.0,7.0,5.0,3.0,5,1.0,1,0.0,0.0,0.0,40.0,1.0
43.0,4,117037.0,2.0,7.0,3.0,14,1.0,2,0.0,0.0,2042.0,40.0,1.0
59.0,4,109015.0,12.0,9.0,1.0,13,5.0,2,1.0,0.0,0.0,40.0,1.0
56.0,2,216851.0,10.0,13.0,3.0,13,1.0,2,0.0,0.0,0.0,40.0,2.0
19.0,4,168294.0,12.0,9.0,5.0,3,4.0,2,0.0,0.0,0.0,40.0,1.0
54.0,?,180211.0,16.0,10.0,3.0, ?,1.0,4,0.0,0.0,0.0,60.0,2.0
39.0,4,367260.0,12.0,9.0,1.0,4,2.0,2,0.0,0.0,0.0,80.0,1.0
49.0,4,193366.0,12.0,9.0,3.0,3,1.0,2,0.0,0.0,0.0,40.0,1.0
23.0,2,190709.0,8.0,12.0,5.0,11,2.0,2,0.0,0.0,0.0,52.0,1.0
20.0,4,266015.0,16.0,10.0,5.0,12,4.0,1,0.0,0.0,0.0,44.0,1.0
45.0,4,386940.0,10.0,13.0,1.0,4,4.0,2,0.0,0.0,1408.0,40.0,1.0
30.0,1,59951.0,16.0,10.0,3.0,1,4.0,2,0.0,0.0,0.0,40.0,1.0
22.0,7,311512.0,16.0,10.0,3.0,8,1.0,1,0.0,0.0,0.0,15.0,1.0
48.0,4,242406.0,2.0,7.0,5.0,7,5.0,2,0.0,0.0,0.0,40.0,1.0
21.0,4,197200.0,16.0,10.0,5.0,7,4.0,2,0.0,0.0,0.0,40.0,1.0
19.0,4,544091.0,12.0,9.0,2.0,1,6.0,2,1.0,0.0,0.0,25.0,1.0
31.0,4,84154.0,16.0,10.0,3.0,12,1.0,2,0.0,0.0,0.0,38.0,2.0
48.0,6,265477.0,8.0,12.0,3.0,10,1.0,2,0.0,0.0,0.0,40.0,1.0
31.0,4,507875.0,7.0,5.0,3.0,7,1.0,2,0.0,0.0,0.0,43.0,1.0
53.0,6,88506.0,10.0,13.0,3.0,10,1.0,2,0.0,0.0,0.0,40.0,1.0
24.0,4,172987.0,10.0,13.0,3.0,13,1.0,2,0.0,0.0,0.0,50.0,1.0
49.0,4,94638.0,12.0,9.0,6.0,1,5.0,2,1.0,0.0,0.0,40.0,1.0
25.0,4,289980.0,12.0,9.0,5.0,6,2.0,2,0.0,0.0,0.0,35.0,1.0
57.0,1,337895.0,10.0,13.0,3.0,10,1.0,1,0.0,0.0,0.0,40.0,2.0
53.0,4,144361.0,12.0,9.0,3.0,7,1.0,2,0.0,0.0,0.0,38.0,1.0
44.0,4,128354.0,13.0,14.0,1.0,4,5.0,2,1.0,0.0,0.0,40.0,1.0
41.0,7,101603.0,9.0,11.0,3.0,3,1.0,2,0.0,0.0,0.0,40.0,1.0
29.0,4,271466.0,9.0,11.0,5.0,10,2.0,2,0.0,0.0,0.0,43.0,1.0
25.0,4,32275.0,16.0,10.0,3.0,4,6.0, Other,1.0,0.0,0.0,40.0,1.0
18.0,4,226956.0,12.0,9.0,5.0,8,4.0,2,1.0,0.0,0.0,30.0,1.0
47.0,4,51835.0,15.0,15.0,3.0,10,6.0,2,1.0,0.0,1902.0,60.0,2.0
50.0,1,251585.0,10.0,13.0,1.0,4,2.0,2,0.0,0.0,0.0,55.0,2.0
47.0,5,109832.0,12.0,9.0,1.0,4,2.0,2,0.0,0.0,0.0,60.0,1.0
43.0,4,237993.0,16.0,10.0,3.0,13,1.0,2,0.0,0.0,0.0,40.0,2.0
46.0,4,216666.0,5.0,3.0,3.0,7,1.0,2,0.0,0.0,0.0,40.0,1.0
35.0,4,56352.0,9.0,11.0,3.0,8,1.0,2,0.0,0.0,0.0,40.0,1.0
41.0,4,147372.0,12.0,9.0,3.0,1,1.0,2,0.0,0.0,0.0,48.0,1.0
30.0,4,188146.0,12.0,9.0,3.0,7,1.0,2,0.0,5013.0,0.0,40.0,1.0
30.0,4,59496.0,10.0,13.0,3.0,12,1.0,2,0.0,2407.0,0.0,40.0,1.0
32.0,?,293936.0,6.0,4.0,4.0, ?,2.0,2,0.0,0.0,0.0,40.0,1.0
48.0,4,149640.0,12.0,9.0,3.0,14,1.0,2,0.0,0.0,0.0,40.0,1.0
42.0,4,116632.0,11.0,16.0,3.0,10,1.0,2,0.0,0.0,0.0,45.0,2.0
29.0,4,105598.0,16.0,10.0,1.0,13,2.0,2,0.0,0.0,0.0,58.0,1.0
36.0,4,155537.0,12.0,9.0,3.0,3,1.0,2,0.0,0.0,0.0,40.0,1.0
28.0,4,183175.0,16.0,10.0,1.0,1,2.0,2,1.0,0.0,0.0,40.0,1.0
53.0,4,169846.0,12.0,9.0,3.0,1,6.0,2,1.0,0.0,0.0,40.0,2.0
49.0,5,191681.0,16.0,10.0,3.0,4,1.0,2,0.0,0.0,0.0,50.0,2.0
25.0,?,200681.0,16.0,10.0,5.0, ?,4.0,2,0.0,0.0,0.0,40.0,1.0
19.0,4,101509.0,16.0,10.0,5.0,10,4.0,2,0.0,0.0,0.0,32.0,1.0
31.0,4,309974.0,10.0,13.0,6.0,12,4.0,1,1.0,0.0,0.0,40.0,1.0
29.0,6,162298.0,10.0,13.0,3.0,12,1.0,2,0.0,0.0,0.0,70.0,2.0
23.0,4,211678.0,16.0,10.0,5.0,7,2.0,2,0.0,0.0,0.0,40.0,1.0
79.0,4,124744.0,16.0,10.0,3.0,10,3.0,2,0.0,0.0,0.0,20.0,1.0
27.0,4,213921.0,12.0,9.0,5.0,8,4.0,2,0.0,0.0,0.0,40.0,1.0
40.0,4,32214.0,8.0,12.0,3.0,1,1.0,2,0.0,0.0,0.0,40.0,1.0
67.0,?,212759.0,1.0,6.0,3.0, ?,1.0,2,0.0,0.0,0.0,2.0,1.0
18.0,4,309634.0,2.0,7.0,5.0,8,4.0,2,1.0,0.0,0.0,22.0,1.0
31.0,2,125927.0,6.0,4.0,3.0,5,1.0,2,0.0,0.0,0.0,40.0,1.0
18.0,4,446839.0,12.0,9.0,5.0,12,2.0,2,0.0,0.0,0.0,30.0,1.0
52.0,4,276515.0,10.0,13.0,3.0,8,1.0,2,0.0,0.0,0.0,40.0,1.0
46.0,4,51618.0,12.0,9.0,3.0,8,6.0,2,1.0,0.0,0.0,40.0,1.0
59.0,4,159937.0,12.0,9.0,3.0,12,1.0,2,0.0,0.0,0.0,48.0,1.0
44.0,4,343591.0,12.0,9.0,1.0,3,2.0,2,1.0,14344.0,0.0,40.0,2.0
53.0,4,346253.0,12.0,9.0,1.0,12,4.0,2,1.0,0.0,0.0,35.0,1.0
49.0,2,268234.0,12.0,9.0,3.0,11,1.0,2,0.0,0.0,0.0,40.0,2.0
33.0,4,202051.0,13.0,14.0,3.0,10,1.0,2,0.0,0.0,0.0,50.0,1.0
30.0,4,54334.0,7.0,5.0,5.0,12,2.0,2,0.0,0.0,0.0,40.0,1.0
43.0,1,410867.0,11.0,16.0,5.0,10,2.0,2,1.0,0.0,0.0,50.0,2.0
57.0,4,249977.0,9.0,11.0,3.0,10,1.0,2,0.0,0.0,0.0,40.0,1.0
37.0,4,286730.0,16.0,10.0,1.0,3,5.0,2,1.0,0.0,0.0,40.0,1.0
28.0,4,212563.0,16.0,10.0,1.0,7,5.0,1,1.0,0.0,0.0,25.0,1.0
30.0,4,117747.0,12.0,9.0,3.0,12,6.0,4,1.0,0.0,1573.0,35.0,1.0
34.0,2,226296.0,10.0,13.0,3.0,11,1.0,2,0.0,0.0,0.0,40.0,2.0
29.0,2,115585.0,16.0,10.0,5.0,6,2.0,2,0.0,0.0,0.0,50.0,1.0
48.0,6,191277.0,11.0,16.0,3.0,10,1.0,2,0.0,0.0,1902.0,60.0,2.0
37.0,4,202683.0,16.0,10.0,3.0,12,1.0,2,0.0,0.0,0.0,48.0,2.0
48.0,4,171095.0,8.0,12.0,1.0,4,5.0,2,1.0,0.0,0.0,40.0,1.0
32.0,1,249409.0,12.0,9.0,5.0,8,4.0,1,0.0,0.0,0.0,40.0,1.0
76.0,4,124191.0,13.0,14.0,3.0,4,1.0,2,0.0,0.0,0.0,40.0,2.0
44.0,4,198282.0,10.0,13.0,3.0,4,1.0,2,0.0,15024.0,0.0,60.0,2.0
47.0,6,149116.0,13.0,14.0,5.0,10,2.0,2,1.0,0.0,0.0,50.0,1.0
20.0,4,188300.0,16.0,10.0,5.0,13,4.0,2,1.0,0.0,0.0,40.0,1.0
29.0,4,103432.0,12.0,9.0,5.0,3,2.0,2,0.0,0.0,0.0,40.0,1.0
32.0,5,317660.0,12.0,9.0,3.0,3,1.0,2,0.0,7688.0,0.0,40.0,2.0
17.0,?,304873.0,1.0,6.0,5.0, ?,4.0,2,1.0,34095.0,0.0,32.0,1.0
30.0,4,194901.0,2.0,7.0,5.0,6,4.0,2,0.0,0.0,0.0,40.0,1.0
31.0,2,189265.0,12.0,9.0,5.0,1,2.0,2,1.0,0.0,0.0,40.0,1.0
42.0,4,124692.0,12.0,9.0,3.0,6,1.0,2,0.0,0.0,0.0,40.0,1.0
24.0,4,432376.0,10.0,13.0,5.0,12,3.0,2,0.0,0.0,0.0,40.0,1.0
38.0,4,65324.0,15.0,15.0,3.0,10,1.0,2,0.0,0.0,0.0,40.0,2.0
56.0,6,335605.0,12.0,9.0,3.0,8,1.0,2,0.0,0.0,1887.0,50.0,2.0
28.0,4,377869.0,16.0,10.0,3.0,12,6.0,2,1.0,4064.0,0.0,25.0,1.0
36.0,4,102864.0,12.0,9.0,5.0,7,4.0,2,1.0,0.0,0.0,40.0,1.0
